scenario_id,ae,profile,profile_ru,curvature_radius_m,curvature_class,lateral_length_m,tubing_shoe_from_heel_m,shoe_fraction,q_std_m3_day,q_std_th_m3_day,p_heel_mpa,p_avg_lateral_mpa,p_toe_mpa,delta_p_wellbore_kpa,a_coeff,b_coeff,iterations,q_vertical_ref_m3_day,gain_vs_vertical_pct
44,0.1,flat,плоско-горизонтальный,8.0,малый,800.0,800.0,1.0,79311.63387560373,79.31163387560373,7.5,7.503372922925938,7.506745845851876,6.745845851876069,747118319154.1373,39466549738881.06,5,34749.58533414408,128.2376411486962
45,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,0.0,0.0,85200.48505449342,85.20048505449341,7.5,7.510786978007259,7.5215739560145165,21.573956014517222,727078959973.681,34036972507780.86,6,34749.58533414408,145.18417769658257
46,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,100.0,0.1111111111111111,85215.77858174736,85.21577858174736,7.5,7.510075995149227,7.520151990298455,20.15199029845434,727062119208.5853,34037134734001.273,6,34749.58533414408,145.22818837212554
47,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,200.0,0.2222222222222222,85231.08126497711,85.2310812649771,7.5,7.509364522276739,7.518729044553479,18.729044553478037,727045263951.373,34037297112359.36,6,34749.58533414408,145.27222539611475
48,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,300.0,0.3333333333333333,85246.39311382426,85.24639311382427,7.5,7.508652558824856,7.517305117649712,17.30511764971153,727028394182.2373,34037459643079.13,6,34749.58533414408,145.31628879629613
49,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,400.0,0.4444444444444444,85261.71413794425,85.26171413794425,7.5,7.507940104227722,7.515880208455444,15.880208455443942,727011509881.3335,34037622326385.09,6,34749.58533414408,145.36037860045542
50,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,500.0,0.5555555555555556,85277.04434700648,85.27704434700648,7.5,7.507227157918563,7.514454315837126,14.454315837126673,726994611028.7809,34037785162502.176,6,34749.58533414408,145.40449483641856
51,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,600.0,0.6666666666666666,85292.38375069424,85.29238375069424,7.5,7.506513719329685,7.51302743865937,13.027438659369517,726977697604.6617,34037948151655.742,6,34749.58533414408,145.4486375320515
52,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,700.0,0.7777777777777778,85307.73235870482,85.30773235870481,7.5,7.505799787892468,7.511599575784937,11.599575784937054,726960769589.0212,34038111294071.633,6,34749.58533414408,145.49280671526043
53,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,800.0,0.8888888888888888,85323.08074645969,85.32308074645968,7.5,7.5050853619525375,7.510170723905074,10.170723905074755,726943837371.0673,34038274489646.566,5,34749.58533414408,145.53697526463242
54,0.1,flat,плоско-горизонтальный,8.0,малый,900.0,900.0,1.0,85338.4502449441,85.33845024494411,7.5,7.504370443503563,7.508740887007127,8.740887007126307,726926877408.264,34038437965324.23,5,34749.58533414408,145.5812045650302
55,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,0.0,0.0,90898.11862036897,90.89811862036898,7.5,7.513576786499137,7.527153572998275,27.15357299827483,709881115375.3663,29833645986861.98,7,34749.58533414408,161.58044116588272
56,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,100.0,0.1,90916.6005535798,90.9166005535798,7.5,7.512772695736681,7.525545391473362,25.54539147336238,709862533874.6338,29833806647548.027,7,34749.58533414408,161.63362721985465
57,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,200.0,0.2,90935.09528826493,90.93509528826493,7.5,7.511967976332813,7.523935952665627,23.935952665627283,709843933998.8373,29833967481144.414,7,34749.58533414408,161.6868501130411
58,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,300.0,0.3,90953.57888637765,90.95357888637766,7.5,7.511162621783907,7.522325243567813,22.325243567812755,709825339819.5862,29834128279518.734,6,34749.58533414408,161.74004095815476
59,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,400.0,0.4,90972.10257328086,90.97210257328086,7.5,7.510356643724656,7.520713287449312,20.713287449312794,709806699790.3273,29834289488480.85,6,34749.58533414408,161.7933471680709
60,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,500.0,0.5,90990.63887388016,90.99063887388016,7.5,7.509550034353724,7.519100068707449,19.100068707449537,709788041533.346,29834450869212.168,6,34749.58533414408,161.8466896768262
61,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,600.0,0.6,91009.18780328735,91.00918780328735,7.5,7.50874279284316,7.5174855856863205,17.485585686320164,709769365020.3207,29834612422000.21,6,34749.58533414408,161.9000685279084
62,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,700.0,0.7,91027.74937663901,91.02774937663901,7.5,7.507934918363482,7.515869836726964,15.869836726963648,709750670222.8695,29834774147133.14,6,34749.58533414408,161.95348376487647
63,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,800.0,0.8,91046.32360909654,91.04632360909653,7.5,7.507126410083677,7.5142528201673535,14.252820167353587,709731957112.5515,29834936044899.734,6,34749.58533414408,162.0069354313609
64,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,900.0,0.9,91064.91051584612,91.06491051584612,7.5,7.5063172671711955,7.512634534342391,12.634534342391099,709713225660.8651,29835098115589.44,6,34749.58533414408,162.06042357106344
65,0.1,flat,плоско-горизонтальный,8.0,малый,1000.0,1000.0,1.0,91083.49825823901,91.083498258239,7.5,7.505507487406096,7.51101497481219,11.014974812190086,709694487790.629,29835260256071.484,5,34749.58533414408,162.1139141155236
66,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,0.0,0.0,96341.54217546587,96.34154217546588,7.5,7.516707154972234,7.533414309944469,33.414309944468116,694969475422.1923,26491950920394.164,7,34749.58533414408,177.24515630637774
67,0.1,flat,плоско-горизонтальный,8.0,малый,1100.0,100.0,0.09090909090909091,96363.45782524328,96.36345782524329,7.5,7.515809176095117,7.5316183521902325,31.618352190232653,694949174685.6326,26492110095865.652,7,34749.58533414408,177.30822367701447
